specialty,filename,title,content_types,has_citations,citation_count,word_count,file_size_kb,last_modified,file_path
Medicine,03_Neurology_Headache_Differentials.md,Headache: Differential Diagnosis and Management,"History Taking, Differentials, OSCE Station",False,0,7042,50.87,2026-01-12,ICRP_OSCE_Preparation/Medicine/03_Neurology_Headache_Differentials.md
Medicine,03_Physical_Examination_Abdominal_Neurological.md,Physical Examination OSCE Notes - Abdominal & Neurological,"Physical Examination, OSCE Station",False,0,4327,27.54,2025-12-28,ICRP_OSCE_Preparation/Medicine/03_Physical_Examination_Abdominal_Neurological.md
Medicine,04_Neurology_Weakness_Limb_Examination.md,Weakness and Neurological Limb Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,8903,62.24,2025-12-29,ICRP_OSCE_Preparation/Medicine/04_Neurology_Weakness_Limb_Examination.md
Medicine,13_Dermatology_History_Examination.md,Dermatology OSCE Master Notes - History-Taking & Skin Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,12273,89.05,2025-12-29,ICRP_OSCE_Preparation/Medicine/13_Dermatology_History_Examination.md
Mock_Stations,01_Sample_Mock_OSCE_Chest_Pain.md,Mock OSCE Station - Chest Pain History,"History Taking, Communication, Differentials, OSCE Station",False,0,2824,16.8,2025-12-28,ICRP_OSCE_Preparation/Mock_Stations/01_Sample_Mock_OSCE_Chest_Pain.md
Mock_Stations,02_Breaking_Bad_News_Mock_Stations.md,Breaking Bad News - Complete Mock OSCE Stations,"Physical Examination, Communication, Counseling, OSCE Station",False,6,4084,25.04,2025-12-28,ICRP_OSCE_Preparation/Mock_Stations/02_Breaking_Bad_News_Mock_Stations.md
Mock_Stations,03_Breaking_Bad_News_Mock_Stations_Part2.md,Breaking Bad News - Mock OSCE Stations (Part 2),"Communication, Counseling, OSCE Station",False,4,7845,47.08,2025-12-28,ICRP_OSCE_Preparation/Mock_Stations/03_Breaking_Bad_News_Mock_Stations_Part2.md
Mock_Stations,14_Dermatology_Cases_Collection.md,Dermatology OSCE Cases Collection,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,5512,35.24,2025-12-28,ICRP_OSCE_Preparation/Mock_Stations/14_Dermatology_Cases_Collection.md
ObGyn,01_Obstetric_History_Differentials.md,Obstetric History-Taking with Differential Diagnosis,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,6633,46.82,2025-12-28,ICRP_OSCE_Preparation/ObGyn/01_Obstetric_History_Differentials.md
ObGyn,02_Gynaecological_History_Differentials.md,Gynaecological History-Taking with Differential Diagnosis,"History Taking, Physical Examination, Communication, Counseling, Differentials, OSCE Station",False,0,7720,54.49,2025-12-28,ICRP_OSCE_Preparation/ObGyn/02_Gynaecological_History_Differentials.md
ObGyn,03_Contraception_Counselling.md,Contraception Counselling,"History Taking, Physical Examination, Communication, Counseling, Differentials, OSCE Station",False,0,9247,62.33,2025-12-28,ICRP_OSCE_Preparation/ObGyn/03_Contraception_Counselling.md
ObGyn,04_Obstetric_Examination.md,Obstetric Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,5763,38.37,2025-12-28,ICRP_OSCE_Preparation/ObGyn/04_Obstetric_Examination.md
ObGyn,05_Gynaecological_Examination.md,Gynaecological Examination,"History Taking, Physical Examination, Communication, Counseling, Differentials, OSCE Station",False,0,5725,40.17,2025-12-28,ICRP_OSCE_Preparation/ObGyn/05_Gynaecological_Examination.md
Paediatrics,01_Paediatric_History_Differentials.md,Paediatric History Taking with Differential Diagnosis,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,7862,52.06,2025-12-28,ICRP_OSCE_Preparation/Paediatrics/01_Paediatric_History_Differentials.md
Paediatrics,02_Common_Paediatric_Presentations.md,Common Paediatric Presentations with Differential Diagnosis,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,7526,53.79,2025-12-29,ICRP_OSCE_Preparation/Paediatrics/02_Common_Paediatric_Presentations.md
Paediatrics,03_Paediatric_Physical_Examination.md,Paediatric Physical Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,6617,47.16,2025-12-28,ICRP_OSCE_Preparation/Paediatrics/03_Paediatric_Physical_Examination.md
Paediatrics,04_Developmental_Assessment.md,Developmental Assessment in Children,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,9220,62.61,2025-12-28,ICRP_OSCE_Preparation/Paediatrics/04_Developmental_Assessment.md
Paediatrics,05_Parent_Communication_Strategies.md,Parent Communication Strategies in Paediatrics,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,8391,54.91,2025-12-28,ICRP_OSCE_Preparation/Paediatrics/05_Parent_Communication_Strategies.md
Psychiatry,01_Psychiatric_History_Differentials.md,Psychiatric History Taking with Differential Diagnosis,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,8318,57.51,2025-12-28,ICRP_OSCE_Preparation/Psychiatry/01_Psychiatric_History_Differentials.md
Psychiatry,02_Mental_State_Examination.md,Mental State Examination (MSE),"History Taking, Physical Examination, Differentials, OSCE Station",False,0,6110,43.86,2025-12-28,ICRP_OSCE_Preparation/Psychiatry/02_Mental_State_Examination.md
Psychiatry,03_Risk_Assessment_Suicide_Violence_Selfneglect.md,"Risk Assessment: Suicide, Violence, and Self-Neglect","History Taking, OSCE Station",False,0,6481,43.54,2025-12-28,ICRP_OSCE_Preparation/Psychiatry/03_Risk_Assessment_Suicide_Violence_Selfneglect.md
Psychiatry,04_Common_Psychiatric_Presentations.md,Common Psychiatric Presentations: Differential Diagnosis and Management,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,10526,78.02,2025-12-28,ICRP_OSCE_Preparation/Psychiatry/04_Common_Psychiatric_Presentations.md
Psychiatry,05_Capacity_Assessment_Legal_Framework.md,Capacity Assessment and Legal Framework,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,8598,60.15,2025-12-28,ICRP_OSCE_Preparation/Psychiatry/05_Capacity_Assessment_Legal_Framework.md
Surgery,01_Acute_Abdomen_History_Differentials.md,Acute Abdomen - History Taking with Differential Diagnosis,"History Taking, Physical Examination, Differentials, OSCE Station",False,10,3637,26.5,2025-12-28,ICRP_OSCE_Preparation/Surgery/01_Acute_Abdomen_History_Differentials.md
Surgery,02_Acute_Abdomen_Physical_Examination.md,Acute Abdomen - Physical Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,10,3267,22.57,2025-12-28,ICRP_OSCE_Preparation/Surgery/02_Acute_Abdomen_Physical_Examination.md
Surgery,03_Surgical_Lumps_Hernias_History_Examination.md,Surgical Lumps & Hernias: History-Taking and Physical Examination,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,8237,56.4,2025-12-28,ICRP_OSCE_Preparation/Surgery/03_Surgical_Lumps_Hernias_History_Examination.md
Surgery,04_Pre_Post_Operative_Assessment.md,Pre-operative and Post-operative Assessment,"History Taking, Physical Examination, Counseling, Differentials, OSCE Station",False,0,9286,64.31,2025-12-28,ICRP_OSCE_Preparation/Surgery/04_Pre_Post_Operative_Assessment.md
Surgery,05_Trauma_Assessment.md,Trauma Assessment: Primary and Secondary Survey,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,8549,60.97,2025-12-29,ICRP_OSCE_Preparation/Surgery/05_Trauma_Assessment.md
