ID,Specialty,Subcategory,Topic,Subtopic,Search_Term_1,Search_Term_2,Search_Term_3,Search_Term_4,Image_Types,AMC_Relevance,Priority,Folder_Path
11,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Fibrillation Coarse,coarse atrial fibrillation ECG,coarse afib electrocardiogram,atrial fibrillation irregular rhythm,,ECG,5,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_fibrillation_coarse
12,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Fibrillation Fine,fine atrial fibrillation ECG,fine afib electrocardiogram,minimal f waves afib,,ECG,5,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_fibrillation_fine
13,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Fibrillation Rvr,atrial fibrillation rapid ventricular response,afib with RVR ECG,fast afib electrocardiogram,uncontrolled atrial fibrillation,ECG,5,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_fibrillation_rvr
14,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Fibrillation Controlled,controlled atrial fibrillation ECG,rate controlled afib,slow afib electrocardiogram,,ECG,4,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_fibrillation_controlled
15,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Flutter Typical,typical atrial flutter ECG,sawtooth flutter waves,atrial flutter 2:1 block,counterclockwise flutter,ECG,5,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_flutter_typical
16,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Flutter Atypical,atypical atrial flutter ECG,clockwise flutter,variable flutter waves,,ECG,3,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_flutter_atypical
17,Cardiology,Arrhythmias,Atrial Arrhythmias,Atrial Flutter Variable Block,atrial flutter variable block ECG,flutter with variable conduction,3:1 4:1 flutter,,ECG,4,HIGH,cardiology/arrhythmias/atrial_arrhythmias/atrial_flutter_variable_block
18,Cardiology,Arrhythmias,Atrial Arrhythmias,Multifocal Atrial Tachycardia,multifocal atrial tachycardia ECG,MAT electrocardiogram,irregular tachycardia multiple P waves,,ECG,3,HIGH,cardiology/arrhythmias/atrial_arrhythmias/multifocal_atrial_tachycardia
19,Cardiology,Arrhythmias,Atrial Arrhythmias,Premature Atrial Contractions,premature atrial contractions ECG,PACs electrocardiogram,atrial ectopics,,ECG,3,HIGH,cardiology/arrhythmias/atrial_arrhythmias/premature_atrial_contractions
20,Cardiology,Arrhythmias,Ventricular Arrhythmias,Ventricular Tachycardia Monomorphic,monomorphic ventricular tachycardia ECG,VT monomorphic electrocardiogram,wide complex tachycardia regular,,ECG,5,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/ventricular_tachycardia_monomorphic
21,Cardiology,Arrhythmias,Ventricular Arrhythmias,Ventricular Tachycardia Polymorphic,polymorphic ventricular tachycardia ECG,VT polymorphic electrocardiogram,irregular wide complex tachycardia,,ECG,4,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/ventricular_tachycardia_polymorphic
22,Cardiology,Arrhythmias,Ventricular Arrhythmias,Torsades De Pointes,torsades de pointes ECG,twisting of the points,polymorphic VT long QT,TdP electrocardiogram,ECG,5,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/torsades_de_pointes
23,Cardiology,Arrhythmias,Ventricular Arrhythmias,Ventricular Tachycardia Sustained,sustained ventricular tachycardia ECG,sustained VT electrocardiogram,VT greater than 30 seconds,,ECG,5,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/ventricular_tachycardia_sustained
24,Cardiology,Arrhythmias,Ventricular Arrhythmias,Ventricular Fibrillation,ventricular fibrillation ECG,VF electrocardiogram,cardiac arrest rhythm,chaotic ventricular rhythm,ECG,5,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/ventricular_fibrillation
25,Cardiology,Arrhythmias,Ventricular Arrhythmias,Premature Ventricular Contractions Unifocal,unifocal premature ventricular contractions,unifocal PVCs ECG,single morphology ventricular ectopics,,ECG,4,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/premature_ventricular_contractions_unifocal
26,Cardiology,Arrhythmias,Ventricular Arrhythmias,Premature Ventricular Contractions Multifocal,multifocal premature ventricular contractions,multifocal PVCs ECG,multiple morphology ventricular ectopics,,ECG,3,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/premature_ventricular_contractions_multifocal
27,Cardiology,Arrhythmias,Ventricular Arrhythmias,Bigeminy Trigeminy,ventricular bigeminy ECG,ventricular trigeminy ECG,PVC bigeminy trigeminy pattern,,ECG,3,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/bigeminy_trigeminy
28,Cardiology,Arrhythmias,Ventricular Arrhythmias,Long Qt Syndrome,long QT syndrome ECG,prolonged QT interval,LQTS electrocardiogram,corrected QT prolongation,ECG,4,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/long_qt_syndrome
29,Cardiology,Arrhythmias,Ventricular Arrhythmias,Brugada Syndrome,brugada syndrome ECG,ST elevation V1-V3,type 1 brugada pattern,coved ST elevation,ECG,4,HIGH,cardiology/arrhythmias/ventricular_arrhythmias/brugada_syndrome
30,Cardiology,Arrhythmias,Supraventricular Tachycardia,Avnrt,AVNRT ECG,AV nodal reentrant tachycardia,supraventricular tachycardia AVNRT,narrow complex regular tachycardia,ECG,4,HIGH,cardiology/arrhythmias/supraventricular_tachycardia/avnrt
31,Cardiology,Arrhythmias,Supraventricular Tachycardia,Avrt,AVRT ECG,AV reentrant tachycardia,accessory pathway tachycardia,orthodromic AVRT,ECG,4,HIGH,cardiology/arrhythmias/supraventricular_tachycardia/avrt
32,Cardiology,Arrhythmias,Supraventricular Tachycardia,Atrial Tachycardia,atrial tachycardia ECG,focal atrial tachycardia,ectopic atrial tachycardia,,ECG,3,HIGH,cardiology/arrhythmias/supraventricular_tachycardia/atrial_tachycardia
33,Cardiology,Arrhythmias,Supraventricular Tachycardia,Wpw Syndrome,Wolff Parkinson White syndrome ECG,WPW delta wave,pre-excitation syndrome,accessory pathway ECG,ECG,4,HIGH,cardiology/arrhythmias/supraventricular_tachycardia/wpw_syndrome
34,Cardiology,Arrhythmias,Bradyarrhythmias,Sinus Bradycardia,sinus bradycardia ECG,slow heart rate ECG,bradycardia sinus rhythm,,ECG,4,HIGH,cardiology/arrhythmias/bradyarrhythmias/sinus_bradycardia
35,Cardiology,Arrhythmias,Bradyarrhythmias,Junctional Rhythm,junctional rhythm ECG,junctional escape rhythm,AV junction rhythm,,ECG,3,HIGH,cardiology/arrhythmias/bradyarrhythmias/junctional_rhythm
36,Cardiology,Arrhythmias,Bradyarrhythmias,Escape Rhythms,escape rhythm ECG,ventricular escape rhythm,idioventricular rhythm,,ECG,3,HIGH,cardiology/arrhythmias/bradyarrhythmias/escape_rhythms
37,Cardiology,Arrhythmias,Bradyarrhythmias,Sick Sinus Syndrome,sick sinus syndrome ECG,sinus node dysfunction,tachy-brady syndrome,chronotropic incompetence,ECG,4,HIGH,cardiology/arrhythmias/bradyarrhythmias/sick_sinus_syndrome
38,Cardiology,Conduction Blocks,Av Blocks,First Degree Av Block,first degree AV block ECG,prolonged PR interval,1st degree heart block,AV block type 1,ECG,4,HIGH,cardiology/conduction_blocks/av_blocks/first_degree_av_block
39,Cardiology,Conduction Blocks,Av Blocks,Second Degree Av Block Mobitz 1,Mobitz type 1 second degree AV block,Wenckebach phenomenon ECG,progressive PR prolongation,Mobitz I AV block,ECG,4,HIGH,cardiology/conduction_blocks/av_blocks/second_degree_av_block_mobitz_1
40,Cardiology,Conduction Blocks,Av Blocks,Second Degree Av Block Mobitz 2,Mobitz type 2 second degree AV block,Mobitz II AV block ECG,intermittent dropped beats,fixed PR interval dropped QRS,ECG,4,HIGH,cardiology/conduction_blocks/av_blocks/second_degree_av_block_mobitz_2
41,Cardiology,Conduction Blocks,Av Blocks,Third Degree Av Block,third degree AV block ECG,complete heart block,AV dissociation complete,3rd degree heart block,ECG,5,HIGH,cardiology/conduction_blocks/av_blocks/third_degree_av_block
42,Cardiology,Conduction Blocks,Av Blocks,2 To 1 Av Block,2:1 AV block ECG,two to one heart block,2 to 1 conduction block,,ECG,3,HIGH,cardiology/conduction_blocks/av_blocks/2_to_1_av_block
43,Cardiology,Conduction Blocks,Bundle Branch Blocks,Left Bundle Branch Block,left bundle branch block ECG,LBBB electrocardiogram,broad QRS left bundle,complete LBBB,ECG,5,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/left_bundle_branch_block
44,Cardiology,Conduction Blocks,Bundle Branch Blocks,Right Bundle Branch Block,right bundle branch block ECG,RBBB electrocardiogram,RSR pattern V1,complete RBBB,ECG,5,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/right_bundle_branch_block
45,Cardiology,Conduction Blocks,Bundle Branch Blocks,Incomplete Lbbb,incomplete left bundle branch block,incomplete LBBB ECG,QRS 100-120ms left bundle,,ECG,3,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/incomplete_lbbb
46,Cardiology,Conduction Blocks,Bundle Branch Blocks,Incomplete Rbbb,incomplete right bundle branch block,incomplete RBBB ECG,QRS 100-120ms right bundle,,ECG,3,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/incomplete_rbbb
47,Cardiology,Conduction Blocks,Bundle Branch Blocks,Bifascicular Block,bifascicular block ECG,RBBB with LAFB,RBBB with LPFB,two fascicle block,ECG,4,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/bifascicular_block
48,Cardiology,Conduction Blocks,Bundle Branch Blocks,Trifascicular Block,trifascicular block ECG,bifascicular block with PR prolongation,three fascicle block,,ECG,3,HIGH,cardiology/conduction_blocks/bundle_branch_blocks/trifascicular_block
49,Cardiology,Conduction Blocks,Fascicular Blocks,Left Anterior Fascicular Block,left anterior fascicular block ECG,LAFB electrocardiogram,left axis deviation QRS,anterior hemiblock,ECG,3,HIGH,cardiology/conduction_blocks/fascicular_blocks/left_anterior_fascicular_block
50,Cardiology,Conduction Blocks,Fascicular Blocks,Left Posterior Fascicular Block,left posterior fascicular block ECG,LPFB electrocardiogram,right axis deviation QRS,posterior hemiblock,ECG,2,HIGH,cardiology/conduction_blocks/fascicular_blocks/left_posterior_fascicular_block
51,Cardiology,Valvular Disease,Aortic Valve,Aortic Stenosis,aortic stenosis echocardiogram,aortic valve stenosis imaging,severe AS echo,calcific aortic stenosis,"echocardiogram, chest_xray",5,HIGH,cardiology/valvular_disease/aortic_valve/aortic_stenosis
52,Cardiology,Valvular Disease,Aortic Valve,Aortic Regurgitation,aortic regurgitation echocardiogram,aortic insufficiency imaging,aortic valve incompetence,AR echo,"echocardiogram, chest_xray",4,HIGH,cardiology/valvular_disease/aortic_valve/aortic_regurgitation
53,Cardiology,Valvular Disease,Aortic Valve,Bicuspid Aortic Valve,bicuspid aortic valve echocardiogram,BAV imaging,two cusp aortic valve,,"echocardiogram, CT",3,HIGH,cardiology/valvular_disease/aortic_valve/bicuspid_aortic_valve
54,Cardiology,Valvular Disease,Mitral Valve,Mitral Stenosis,mitral stenosis echocardiogram,mitral valve stenosis imaging,rheumatic MS echo,doming mitral valve,"echocardiogram, chest_xray",5,HIGH,cardiology/valvular_disease/mitral_valve/mitral_stenosis
55,Cardiology,Valvular Disease,Mitral Valve,Mitral Regurgitation,mitral regurgitation echocardiogram,mitral valve regurgitation imaging,MR echo,mitral valve incompetence,"echocardiogram, chest_xray",5,HIGH,cardiology/valvular_disease/mitral_valve/mitral_regurgitation
56,Cardiology,Valvular Disease,Mitral Valve,Mitral Valve Prolapse,mitral valve prolapse echocardiogram,MVP echo,mitral leaflet prolapse,floppy mitral valve,echocardiogram,4,HIGH,cardiology/valvular_disease/mitral_valve/mitral_valve_prolapse
57,Cardiology,Valvular Disease,Mitral Valve,Systolic Anterior Motion,systolic anterior motion echocardiogram,SAM mitral valve,HOCM SAM echo,,echocardiogram,3,HIGH,cardiology/valvular_disease/mitral_valve/systolic_anterior_motion
58,Cardiology,Valvular Disease,Tricuspid Valve,Tricuspid Regurgitation,tricuspid regurgitation echocardiogram,TR echo,tricuspid valve regurgitation,tricuspid incompetence,echocardiogram,3,HIGH,cardiology/valvular_disease/tricuspid_valve/tricuspid_regurgitation
59,Cardiology,Valvular Disease,Tricuspid Valve,Tricuspid Stenosis,tricuspid stenosis echocardiogram,TS echo,tricuspid valve stenosis,,echocardiogram,2,HIGH,cardiology/valvular_disease/tricuspid_valve/tricuspid_stenosis
60,Cardiology,Valvular Disease,Pulmonary Valve,Pulmonary Stenosis,pulmonary stenosis echocardiogram,pulmonary valve stenosis,PS echo,,echocardiogram,2,HIGH,cardiology/valvular_disease/pulmonary_valve/pulmonary_stenosis
61,Cardiology,Valvular Disease,Pulmonary Valve,Pulmonary Regurgitation,pulmonary regurgitation echocardiogram,pulmonary valve regurgitation,PR echo,,echocardiogram,2,HIGH,cardiology/valvular_disease/pulmonary_valve/pulmonary_regurgitation
62,Cardiology,Cardiomyopathy,Dilated Cardiomyopathy,Idiopathic Dcm,idiopathic dilated cardiomyopathy,dilated CMP echocardiogram,DCM imaging,enlarged heart chambers,"echocardiogram, chest_xray, MRI",4,HIGH,cardiology/cardiomyopathy/dilated_cardiomyopathy/idiopathic_dcm
63,Cardiology,Cardiomyopathy,Dilated Cardiomyopathy,Ischemic Dcm,ischemic cardiomyopathy,post MI cardiomyopathy,ischemic DCM echo,,"echocardiogram, MRI",4,HIGH,cardiology/cardiomyopathy/dilated_cardiomyopathy/ischemic_dcm
64,Cardiology,Cardiomyopathy,Dilated Cardiomyopathy,Alcoholic Dcm,alcoholic cardiomyopathy,alcohol related heart failure,alcoholic DCM imaging,,echocardiogram,3,HIGH,cardiology/cardiomyopathy/dilated_cardiomyopathy/alcoholic_dcm
65,Cardiology,Cardiomyopathy,Dilated Cardiomyopathy,Peripartum Dcm,peripartum cardiomyopathy,postpartum heart failure,pregnancy related DCM,,echocardiogram,3,HIGH,cardiology/cardiomyopathy/dilated_cardiomyopathy/peripartum_dcm
66,Cardiology,Cardiomyopathy,Hypertrophic Cardiomyopathy,Hcm Obstructive,hypertrophic obstructive cardiomyopathy,HOCM echocardiogram,asymmetric septal hypertrophy,LVOT obstruction,"echocardiogram, MRI",4,HIGH,cardiology/cardiomyopathy/hypertrophic_cardiomyopathy/hcm_obstructive
67,Cardiology,Cardiomyopathy,Hypertrophic Cardiomyopathy,Hcm Non Obstructive,hypertrophic non-obstructive cardiomyopathy,HCM without obstruction,septal hypertrophy no LVOT obstruction,,"echocardiogram, MRI",3,HIGH,cardiology/cardiomyopathy/hypertrophic_cardiomyopathy/hcm_non_obstructive
68,Cardiology,Cardiomyopathy,Hypertrophic Cardiomyopathy,Apical Hcm,apical hypertrophic cardiomyopathy,apical HCM echo,Yamaguchi syndrome,,"echocardiogram, MRI",2,HIGH,cardiology/cardiomyopathy/hypertrophic_cardiomyopathy/apical_hcm
69,Cardiology,Cardiomyopathy,Restrictive Cardiomyopathy,Amyloid Heart,cardiac amyloidosis,amyloid heart disease,restrictive CMP amyloid,,"echocardiogram, MRI",3,HIGH,cardiology/cardiomyopathy/restrictive_cardiomyopathy/amyloid_heart
70,Cardiology,Cardiomyopathy,Restrictive Cardiomyopathy,Sarcoid Heart,cardiac sarcoidosis,sarcoid heart disease,granulomatous myocarditis,,"MRI, PET",3,HIGH,cardiology/cardiomyopathy/restrictive_cardiomyopathy/sarcoid_heart
71,Cardiology,Cardiomyopathy,Restrictive Cardiomyopathy,Hemochromatosis Heart,cardiac hemochromatosis,iron overload cardiomyopathy,hemochromatosis heart,,MRI,2,HIGH,cardiology/cardiomyopathy/restrictive_cardiomyopathy/hemochromatosis_heart
72,Cardiology,Pericardial Disease,Pericarditis,Acute Pericarditis,acute pericarditis ECG,pericarditis electrocardiogram,diffuse ST elevation pericarditis,PR depression pericarditis,"ECG, chest_xray, echocardiogram",5,HIGH,cardiology/pericardial_disease/pericarditis/acute_pericarditis
73,Cardiology,Pericardial Disease,Pericarditis,Constrictive Pericarditis,constrictive pericarditis imaging,pericardial constriction,calcified pericardium,,"chest_xray, CT, MRI",3,HIGH,cardiology/pericardial_disease/pericarditis/constrictive_pericarditis
74,Cardiology,Pericardial Disease,Pericardial Effusion,Pericardial Effusion Small,small pericardial effusion echocardiogram,pericardial fluid small amount,minor pericardial effusion,,echocardiogram,3,HIGH,cardiology/pericardial_disease/pericardial_effusion/pericardial_effusion_small
75,Cardiology,Pericardial Disease,Pericardial Effusion,Pericardial Effusion Large,large pericardial effusion echocardiogram,massive pericardial fluid,severe pericardial effusion,,"echocardiogram, chest_xray",4,HIGH,cardiology/pericardial_disease/pericardial_effusion/pericardial_effusion_large
76,Cardiology,Pericardial Disease,Pericardial Effusion,Cardiac Tamponade,cardiac tamponade echocardiogram,pericardial tamponade,right atrial collapse tamponade,RV diastolic collapse,echocardiogram,5,HIGH,cardiology/pericardial_disease/pericardial_effusion/cardiac_tamponade
77,Cardiology,Heart Failure,Systolic Heart Failure,Hfref,heart failure reduced ejection fraction,HFrEF echocardiogram,systolic dysfunction,low LVEF heart failure,"echocardiogram, chest_xray",5,HIGH,cardiology/heart_failure/systolic_heart_failure/hfref
78,Cardiology,Heart Failure,Diastolic Heart Failure,Hfpef,heart failure preserved ejection fraction,HFpEF echocardiogram,diastolic dysfunction,preserved LVEF heart failure,echocardiogram,4,HIGH,cardiology/heart_failure/diastolic_heart_failure/hfpef
79,Cardiology,Heart Failure,Pulmonary Edema,Cardiogenic Pulmonary Edema,cardiogenic pulmonary edema chest xray,acute pulmonary edema CHF,pulmonary venous congestion,bat wing pulmonary edema,chest_xray,5,HIGH,cardiology/heart_failure/pulmonary_edema/cardiogenic_pulmonary_edema
80,Cardiology,Hypertrophy Patterns,Ventricular Hypertrophy,Left Ventricular Hypertrophy,left ventricular hypertrophy ECG,LVH electrocardiogram,increased voltage left ventricle,Sokolow Lyon criteria,ECG,5,HIGH,cardiology/hypertrophy_patterns/ventricular_hypertrophy/left_ventricular_hypertrophy
81,Cardiology,Hypertrophy Patterns,Ventricular Hypertrophy,Right Ventricular Hypertrophy,right ventricular hypertrophy ECG,RVH electrocardiogram,increased voltage right ventricle,dominant R wave V1,ECG,4,HIGH,cardiology/hypertrophy_patterns/ventricular_hypertrophy/right_ventricular_hypertrophy
82,Cardiology,Hypertrophy Patterns,Ventricular Hypertrophy,Biventricular Hypertrophy,biventricular hypertrophy ECG,combined ventricular hypertrophy,LVH and RVH together,,ECG,3,HIGH,cardiology/hypertrophy_patterns/ventricular_hypertrophy/biventricular_hypertrophy
83,Cardiology,Hypertrophy Patterns,Atrial Enlargement,Left Atrial Enlargement,left atrial enlargement ECG,LAE electrocardiogram,P mitrale ECG,biphasic P wave V1,"ECG, chest_xray",4,HIGH,cardiology/hypertrophy_patterns/atrial_enlargement/left_atrial_enlargement
84,Cardiology,Hypertrophy Patterns,Atrial Enlargement,Right Atrial Enlargement,right atrial enlargement ECG,RAE electrocardiogram,P pulmonale ECG,tall P wave lead II,ECG,3,HIGH,cardiology/hypertrophy_patterns/atrial_enlargement/right_atrial_enlargement
85,Cardiology,Electrolyte Abnormalities,Potassium Abnormalities,Hyperkalemia,hyperkalemia ECG,high potassium electrocardiogram,peaked T waves,sine wave pattern,ECG,5,HIGH,cardiology/electrolyte_abnormalities/potassium_abnormalities/hyperkalemia
86,Cardiology,Electrolyte Abnormalities,Potassium Abnormalities,Hypokalemia,hypokalemia ECG,low potassium electrocardiogram,U waves hypokalemia,prolonged QT hypokalemia,ECG,5,HIGH,cardiology/electrolyte_abnormalities/potassium_abnormalities/hypokalemia
87,Cardiology,Electrolyte Abnormalities,Calcium Abnormalities,Hypercalcemia,hypercalcemia ECG,high calcium electrocardiogram,short QT interval,,ECG,3,HIGH,cardiology/electrolyte_abnormalities/calcium_abnormalities/hypercalcemia
88,Cardiology,Electrolyte Abnormalities,Calcium Abnormalities,Hypocalcemia,hypocalcemia ECG,low calcium electrocardiogram,prolonged QT hypocalcemia,,ECG,3,HIGH,cardiology/electrolyte_abnormalities/calcium_abnormalities/hypocalcemia
89,Cardiology,Congenital Heart Disease,Septal Defects,Atrial Septal Defect,atrial septal defect echocardiogram,ASD imaging,secundum ASD,primum ASD,"echocardiogram, chest_xray",3,HIGH,cardiology/congenital_heart_disease/septal_defects/atrial_septal_defect
90,Cardiology,Congenital Heart Disease,Septal Defects,Ventricular Septal Defect,ventricular septal defect echocardiogram,VSD imaging,perimembranous VSD,muscular VSD,"echocardiogram, chest_xray",3,HIGH,cardiology/congenital_heart_disease/septal_defects/ventricular_septal_defect
91,Cardiology,Congenital Heart Disease,Patent Ductus Arteriosus,Pda,patent ductus arteriosus echocardiogram,PDA imaging,persistent ductus arteriosus,,"echocardiogram, chest_xray",3,HIGH,cardiology/congenital_heart_disease/patent_ductus_arteriosus/pda
92,Cardiology,Congenital Heart Disease,Coarctation Aorta,Coarctation,coarctation of aorta imaging,aortic coarctation CT,rib notching coarctation,,"chest_xray, CT, MRI",3,HIGH,cardiology/congenital_heart_disease/coarctation_aorta/coarctation
93,Cardiology,Pacemakers,Pacemaker Rhythms,Single Chamber Pacing,single chamber pacemaker ECG,atrial pacing ECG,ventricular pacing ECG,AAI pacemaker,ECG,4,HIGH,cardiology/pacemakers/pacemaker_rhythms/single_chamber_pacing
94,Cardiology,Pacemakers,Pacemaker Rhythms,Dual Chamber Pacing,dual chamber pacemaker ECG,DDD pacemaker,sequential AV pacing,physiologic pacing,ECG,4,HIGH,cardiology/pacemakers/pacemaker_rhythms/dual_chamber_pacing
95,Cardiology,Pacemakers,Pacemaker Rhythms,Biventricular Pacing,biventricular pacemaker ECG,CRT pacing,cardiac resynchronization therapy,BiV pacemaker,"ECG, chest_xray",3,HIGH,cardiology/pacemakers/pacemaker_rhythms/biventricular_pacing
96,Cardiology,Pacemakers,Pacemaker Rhythms,Pacemaker Malfunction,pacemaker malfunction ECG,failure to capture pacemaker,failure to sense pacemaker,pacing spikes no capture,ECG,4,HIGH,cardiology/pacemakers/pacemaker_rhythms/pacemaker_malfunction
97,Respiratory,Respiratory Infections,Pneumonia,Community Acquired Pneumonia,community acquired pneumonia chest x-ray,CAP chest radiograph,lobar pneumonia xray,pneumococcal pneumonia chest xray,"chest_xray, CT",5,HIGH,respiratory/respiratory_infections/pneumonia/community_acquired_pneumonia
98,Respiratory,Respiratory Infections,Pneumonia,Hospital Acquired Pneumonia,hospital acquired pneumonia chest x-ray,nosocomial pneumonia xray,HAP chest radiograph,ventilator associated pneumonia xray,"chest_xray, CT",4,HIGH,respiratory/respiratory_infections/pneumonia/hospital_acquired_pneumonia
99,Respiratory,Respiratory Infections,Pneumonia,Aspiration Pneumonia,aspiration pneumonia chest x-ray,aspiration pneumonitis xray,right lower lobe pneumonia aspiration,dependent segment pneumonia xray,"chest_xray, CT",4,HIGH,respiratory/respiratory_infections/pneumonia/aspiration_pneumonia
100,Respiratory,Respiratory Infections,Pneumonia,Viral Pneumonia,viral pneumonia chest x-ray,interstitial pneumonia xray,COVID-19 pneumonia chest xray,influenza pneumonia radiograph,"chest_xray, CT",5,HIGH,respiratory/respiratory_infections/pneumonia/viral_pneumonia
101,Respiratory,Respiratory Infections,Pneumonia,Atypical Pneumonia,atypical pneumonia chest x-ray,mycoplasma pneumonia xray,legionella pneumonia chest xray,chlamydia pneumonia radiograph,"chest_xray, CT",4,HIGH,respiratory/respiratory_infections/pneumonia/atypical_pneumonia
102,Respiratory,Respiratory Infections,Pneumonia,Necrotizing Pneumonia,necrotizing pneumonia chest x-ray,lung abscess xray,cavitating pneumonia chest xray,pneumonia with necrosis CT,"chest_xray, CT",3,HIGH,respiratory/respiratory_infections/pneumonia/necrotizing_pneumonia
103,Respiratory,Respiratory Infections,Tuberculosis,Primary Tuberculosis,primary tuberculosis chest x-ray,primary TB xray,Ghon complex chest xray,hilar lymphadenopathy TB,"chest_xray, CT",4,HIGH,respiratory/respiratory_infections/tuberculosis/primary_tuberculosis
104,Respiratory,Respiratory Infections,Tuberculosis,Reactivation Tuberculosis,reactivation tuberculosis chest x-ray,secondary TB xray,apical tuberculosis chest xray,cavitating TB radiograph,"chest_xray, CT",5,HIGH,respiratory/respiratory_infections/tuberculosis/reactivation_tuberculosis
105,Respiratory,Respiratory Infections,Tuberculosis,Miliary Tuberculosis,miliary tuberculosis chest x-ray,disseminated TB xray,miliary pattern chest radiograph,miliary nodules TB,"chest_xray, CT",4,HIGH,respiratory/respiratory_infections/tuberculosis/miliary_tuberculosis
106,Respiratory,Respiratory Infections,Tuberculosis,Tuberculous Pleural Effusion,tuberculous pleural effusion chest x-ray,TB pleural effusion xray,tuberculous pleurisy chest xray,exudative effusion TB,"chest_xray, ultrasound",4,HIGH,respiratory/respiratory_infections/tuberculosis/tuberculous_pleural_effusion
