Resource Name,Type,Clinical Area,Cost,Access Method,Priority,URL,Status,Notes
Kaplan & Sadock's Concise Textbook 5e,Textbook,Psychiatry,~$130 AUD,Purchase,SUPPLEMENTARY,Major bookstores,To Purchase,Comprehensive psychiatry reference
Andrews Management of Mental Disorder 5e,Textbook,Psychiatry,~$60 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Australian mental health management
Beischer & Mackay's Obstetrics 4e,Textbook,Women's Health,~$110 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Australian obstetrics textbook
Llewellyn-Jones Fundamentals 11e,Textbook,Women's Health,~$80 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,O&G fundamentals
Bailey & Love's Short Practice of Surgery,Textbook,Surgery,~$130 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Surgical principles and practice
Nikolic General Surgery SET Interview 2e,Textbook,Surgery,~$70 AUD,Purchase,SUPPLEMENTARY,Major bookstores,To Purchase,Surgical OSCE preparation
Good Medical Practice 4e (Breen),Textbook,Ethics/Communication,~$60 AUD,Purchase,ESSENTIAL,Major bookstores,To Purchase,Australian medical professionalism standards
Understanding the Australian Healthcare System 5e,Textbook,Healthcare System,~$50 AUD,Purchase,HIGHLY RECOMMENDED,Major bookstores,To Purchase,Australian health system overview
Therapeutic Guidelines (eTG),Clinical Guidelines,All Clinical,$399/year,Subscription,ESSENTIAL,https://tgldcdp.tg.org.au/,To Subscribe,Gold standard Australian clinical guidelines
Australian Medicines Handbook (AMH),Drug Reference,Prescribing,$295/year,Subscription,ESSENTIAL,https://shop.amh.net.au/products/digital,To Subscribe,Drug dosing and prescribing guidance
RACGP Red Book,Guidelines,Preventive Care,FREE/Purchase,Download/Purchase,HIGHLY RECOMMENDED,https://www.racgp.org.au/clinical-resources/clinical-guidelines/,Available,Preventive health guidelines
RANZCOG Statements and Guidelines,Guidelines,Women's Health,FREE,Web Access,HIGHLY RECOMMENDED,https://www.ranzcog.edu.au/statements-guidelines,Available,O&G clinical guidelines
National Prescribing Curriculum,Online Resource,Prescribing,FREE,Web Access,SUPPLEMENTARY,https://www.nps.org.au/,Available,QUM Learning modules
AMBOSS Question Bank,Question Bank,All Clinical,Subscription,Online Platform,HIGHLY RECOMMENDED,https://www.amboss.com/int/au/amc,To Subscribe,4400+ questions with 5-day free trial
AMC Wise,Question Bank,All Clinical,FREE/Paid,Online Platform,RECOMMENDED,https://amcwise.com/,Free Account,Free question bank with paid upgrades
PassGP,Question Bank,All Clinical,Paid,Online Platform,RECOMMENDED,https://www.passgp.au/passamc,To Subscribe,15500+ questions - 93-98% pass rates
PassAMCQ,Question Bank,All Clinical,Paid,Online Platform,SUPPLEMENTARY,https://passamcq.com/,To Subscribe,Reconstructed past questions
AceAmcQ,Question Bank,All Clinical,Paid,Online Platform,RECOMMENDED,https://aceamcq.com/,To Subscribe,AMC recalls 2018-2025 - 6500+ questions
AMC Question Bank,Question Bank,All Clinical,Paid,Online Platform,SUPPLEMENTARY,https://www.amcquestionbank.com/,To Subscribe,Verified questions with explanations
Melbourne Q-Bank,Question Bank,All Clinical,Paid,Online Platform,SUPPLEMENTARY,https://melbourneqbank.com/,To Subscribe,Australian-focused MCQs
MplusX QBank,Question Bank,All Clinical,Paid,Online Platform,SUPPLEMENTARY,https://member.mplusx.com/,To Subscribe,Past recalls 2024-2025 with monthly updates
Geeky Medics,OSCE Platform,All Clinical,FREE 50 stations/Paid full,Online Platform,ESSENTIAL,https://geekymedics.com/amc-exam-preparation-resources/,Free Account,1300+ OSCE stations - 700+ AI virtual patients
ARIMGSAS Course,Preparation Course,All Clinical,~$600-800,Course Registration,HIGHLY RECOMMENDED,https://www.arimgsas.com.au/,To Register,Face-to-face trial exam in Sydney
IME Preparation Programs,Preparation Course,All Clinical,~$1000-2000,Course Registration,RECOMMENDED,https://imemedical.com/collections/amc-exams,To Register,Comprehensive preparation programs
Academically Course,Preparation Course,All Clinical,~$500-1500,Course Registration,RECOMMENDED,https://academically.com/doctor/amc-clinical-exam-preparation-course/,To Register,AI-driven clinical tests with role plays
Emergency Focus Course,Preparation Course,All Clinical,Paid,Course Registration,SUPPLEMENTARY,https://emergencyfocus.thinkific.com/courses/amcclinical,To Register,Role play videos and flashcards
Teaching4IMGs,Preparation Course,All Clinical,Paid,Course Registration,SUPPLEMENTARY,https://teaching4imgs.com.au/,To Register,AMC examination courses
Life in the Fast Lane (LITFL),Free Resource,Emergency/ECG,FREE,Web Access,RECOMMENDED,https://litfl.com/,Available,ECG library and emergency medicine
Oxford Medical Education,Free Resource,All Clinical,FREE,Web Access,RECOMMENDED,https://oxfordmedicaleducation.com/,Available,360+ clinical videos
HEAL IMG Resources,Free Resource,All Clinical,FREE,Web Access,USEFUL,https://www.heal.edu.au/international-medical-graduates/free-exam-preparation-resources/,Available,Free exam prep for IMGs
DermNet NZ,Free Resource,Dermatology,FREE,Web Access,RECOMMENDED,https://dermnetnz.org/,Available,Comprehensive dermatology resource
Black Dog Institute,Free Resource,Mental Health,FREE,Web Access,USEFUL,https://blackdoginstitute.org.au/,Available,Mental health education
Beyond Blue,Free Resource,Mental Health,FREE,Web Access,USEFUL,https://www.beyondblue.org.au/,Available,Depression and anxiety resources
Headspace,Free Resource,Mental Health,FREE,Web Access,USEFUL,https://headspace.org.au/,Available,Youth mental health resources
Orygen,Free Resource,Mental Health,FREE,Web Access,USEFUL,https://www.orygen.org.au/,Available,Youth mental health research
LIME Network,Free Resource,Indigenous Health,FREE,Web Access,RECOMMENDED,https://limenetwork.net.au/,Available,Indigenous medical education
HealthInfoNet,Free Resource,Indigenous Health,FREE,Web Access,RECOMMENDED,https://healthinfonet.ecu.edu.au/,Available,Indigenous health knowledge
NACCHO Online Learning,Free Resource,Indigenous Health,FREE,Web Access,USEFUL,https://www.naccho.org.au/,Available,Aboriginal health learning modules
ASHM,Free Resource,LGBTQI+ Health,FREE,Web Access,USEFUL,https://www.ashm.org.au/,Available,LGBTQI+ health training
AusPATH,Free Resource,LGBTQI+ Health,FREE,Web Access,USEFUL,https://auspath.org.au/,Available,Trans and gender diverse health
University of Nottingham Videos,Video Resource,All Clinical,FREE,YouTube,RECOMMENDED,YouTube search: University of Nottingham clinical skills,Available,Communication skills and psychiatric interviews
Elsevier/Talley Videos,Video Resource,All Clinical,Purchase with book,Comes with textbook,ESSENTIAL,Included with Talley & O'Connor textbook,To Purchase,Clinical examination demonstrations
Geeky Medics Videos,Video Resource,All Clinical,FREE/Paid,YouTube/Platform,RECOMMENDED,YouTube and geekymedics.com,Available,OSCE demonstration videos
AMC Clinical Sample Questions (Scribd),Practice Questions,All Clinical,Scribd membership,Scribd,USEFUL,https://www.scribd.com/document/141816277/AMC-Clinical-Sample-Questions,To Access,27 patient scenarios
AMC Clinical Exam Workbook (Amazon),Practice Questions,All Clinical,~$40 AUD,Purchase,RECOMMENDED,https://www.amazon.com/AMC-Clinical-Exam-Workbook-questions-ebook/dp/B0CW1GBZR5,To Purchase,190+ practice questions
Medical Study Zone Materials,Practice Questions,All Clinical,FREE,Download,USEFUL,https://medicalstudyzone.com/all-amc-australian-medical-council-preparatory-materials-free-download/,Available,500MB+ of materials (copyright considerations)
AHPRA Registration Standards,Professional Standard,All,FREE,Web Access,ESSENTIAL,https://www.ahpra.gov.au/,Available,Registration and professional standards
Medical Board of Australia Standards,Professional Standard,All,FREE,Web Access,ESSENTIAL,https://www.medicalboard.gov.au/,Available,Professional codes and ethics
Doctors Speak Up Resource,Professional Standard,Communication,FREE,Web Access,USEFUL,University of Melbourne resource,Available,Speaking up for patient safety
